site,product_url,status,category,breadcrumb
xlmoto,https://www.xlmoto.co.uk/product/sbs-standard-front-brake-disc_pid-PM-4912013,pending,brake_pads,Motorcycle Parts > Motorcycle Brakes > Brake Discs > SBS Standard Front Brake Disc
xlmoto,https://www.xlmoto.co.uk/product/snell-sinter-semi-metal-brake-pads-front_pid-PM-0054324,pending,brake_pads,Motorcycle Parts > Motorcycle Brakes > Brake Pads > Snell Sinter Semi Metal Brake Pads Front
xlmoto,https://www.xlmoto.co.uk/product/trw-standard-rear-brake-pads_pid-PM-0111536,pending,brake_pads,Motorcycle Parts > Motorcycle Brakes > Brake Pads > TRW Standard Rear Brake Pads
xlmoto,https://www.xlmoto.co.uk/product/hiflo-air-filter_pid-PM-5401229,pending,filters,Motorcycle Parts > Engine Parts & Filters > Air Filters > HIFLO Air Filter
xlmoto,https://www.xlmoto.co.uk/product/hiflo-air-filter_pid-PM-5401230,pending,filters,Motorcycle Parts > Engine Parts & Filters > Air Filters > HIFLO Air Filter
xlmoto,https://www.xlmoto.co.uk/product/prox-valve-shim-748mm-120-350mm-5pcs_pid-PM-0017614,pending,filters,"Motorcycle Parts > Engine Parts & Filters > Engine Parts > ProX Valve shim 7,48mm 1,20-3,50mm 5pcs"
xlmoto,https://www.xlmoto.co.uk/product/prox-948mm-120-350mm-valve-shim-5pcs_pid-PM-0017616,pending,filters,"Motorcycle Parts > Engine Parts & Filters > Engine Parts > ProX 9,48mm 1,20-3,50mm Valve Shim 5pcs"
xlmoto,https://www.xlmoto.co.uk/product/hiflo-air-filter_pid-PM-0066285,pending,filters,Motorcycle Parts > Engine Parts & Filters > Air Filters > HIFLO Air Filter
xlmoto,https://www.xlmoto.co.uk/product/hiflo-air-filter-oem_pid-PM-4911875,pending,filters,Motorcycle Parts > Engine Parts & Filters > Air Filters > HIFLO Air Filter OEM
xlmoto,https://www.xlmoto.co.uk/product/prox-valve-shim-assortment_pid-PM-0017617,pending,filters,Motorcycle Parts > Engine Parts & Filters > Engine Parts > ProX Valve shim assortment
xlmoto,https://www.xlmoto.co.uk/product/steinconnector-quick-release-coupling-for-fuel-hose_pid-PM-4970776,pending,filters,Motorcycle Parts > Engine Parts & Filters > Fuel Filters > Steinconnector Quick Release Coupling For Fuel Hose
xlmoto,https://www.xlmoto.co.uk/product/hiflo-filt-air-filter_pid-PM-0066284,pending,filters,Motorcycle Parts > Engine Parts & Filters > Air Filters > HIFLO Filt Air Filter
xlmoto,https://www.xlmoto.co.uk/product/kn-filters-replacement-air-filter_pid-PM-4950071,pending,filters,Motorcycle Parts > Engine Parts & Filters > Air Filters > K&N Filters Replacement Air Filter
24mx,https://www.24mx.co.uk/product/hiflo-oil-filter_pid-PM-0066281,pending,oils,Motocross Parts > Filters > Oil Filters > HIFLO Oil Filter
24mx,https://www.24mx.co.uk/product/hiflo-3-pack-oil-filter_pid-PP-4900936,pending,oils,Motocross Parts > Filters > Oil Filters > Hiflo 3-pack Oil Filter
24mx,https://www.24mx.co.uk/product/hiflo-5-pack-oil-filter_pid-PP-4900937,pending,oils,Motocross Parts > Filters > Oil Filters > Hiflo 5-pack Oil Filter
24mx,https://www.24mx.co.uk/product/prox-fork-oil-seal-and-dust-wiper-kit_pid-PM-0017624,pending,oils,Motocross Parts > Suspension > Seals & Bushings > ProX Fork oil seal and Dust wiper kit
24mx,https://www.24mx.co.uk/product/kn-powersports-oil-filter_pid-PM-0066397,pending,oils,Motocross Parts > Filters > Oil Filters > K&N Powersports Oil Filter
24mx,https://www.24mx.co.uk/product/proworks-oil-waste-can-8l_pid-PM-4917970,pending,oils,Accessories > Paddock & Garage > Other Garage Accessories > Proworks Oil Waste Can 8L
24mx,https://www.24mx.co.uk/product/prox-oil-filter_pid-PM-0086153,pending,oils,Motocross Parts > Filters > Oil Filters > ProX Oil Filter
24mx,https://www.24mx.co.uk/product/proworks-500ml-measurment-flask_pid-PM-0035240,pending,oils,"Oils & Lubricants > Oil, Fluids & Lubricants Accessories > Proworks 500ml Measurment Flask"
24mx,https://www.24mx.co.uk/product/hiflo-premium-oil-filter_pid-PM-0066280,pending,oils,Motocross Parts > Filters > Oil Filters > HIFLO Premium Oil Filter
24mx,https://www.24mx.co.uk/product/twenty-copper-washers-5-pack_pid-PM-0038528,pending,oils,Motocross Parts > Filters > Oil Filters > Twenty Copper Washers 5-pack
24mx,https://www.24mx.co.uk/product/twenty-mx-air-dual-foam-air-filter_pid-PM-0026009,pending,filters,Motocross Parts > Filters > Air Filters > Twenty MX Air Dual Foam Air Filter
24mx,https://www.24mx.co.uk/product/twenty-mx-air-filter-3-pack_pid-PP-026020,pending,filters,Motocross Parts > Filters > Air Filters > Twenty MX Air Filter 3-Pack
24mx,https://www.24mx.co.uk/product/twenty-mx-air-filters-10-pack_pid-PP-041785,pending,filters,Motocross Parts > Filters > Air Filters > Twenty MX Air Filters 10-pack
